episode,reward,steps,success
986,68,14,1
987,86,15,1
988,88,13,1
989,86,15,1
990,88,13,1
991,86,15,1
992,68,14,1
993,86,15,1
994,88,13,1
995,68,14,1
996,88,13,1
997,86,15,1
998,88,13,1
999,88,13,1
1000,88,13,1
1001,86,15,1
1002,68,14,1
1003,88,13,1
1004,88,13,1
1005,88,13,1
1006,88,13,1
1007,66,16,1
1008,88,13,1
1009,48,15,1
1010,88,13,1
1011,88,13,1
1012,88,13,1
1013,88,13,1
1014,88,13,1
1015,88,13,1
1016,88,13,1
1017,66,16,1
1018,48,15,1
1019,88,13,1
1020,88,13,1
1021,88,13,1
1022,88,13,1
1023,88,13,1
1024,88,13,1
1025,88,13,1
1026,88,13,1
1027,88,13,1
1028,86,15,1
1029,88,13,1
1030,88,13,1
1031,88,13,1
1032,68,14,1
1033,88,13,1
1034,88,13,1
1035,68,14,1
1036,88,13,1
1037,88,13,1
1038,88,13,1
1039,88,13,1
1040,68,14,1
1041,88,13,1
1042,88,13,1
1043,88,13,1
1044,68,14,1
1045,82,19,1
1046,88,13,1
1047,88,13,1
1048,48,15,1
1049,88,13,1
1050,88,13,1
1051,88,13,1
1052,88,13,1
1053,88,13,1
1054,68,14,1
1055,88,13,1
1056,88,13,1
1057,88,13,1
1058,88,13,1
1059,88,13,1
1060,86,15,1
1061,88,13,1
1062,88,13,1
1063,88,13,1
1064,68,14,1
1065,88,13,1
1066,86,15,1
1067,88,13,1
1068,66,16,1
1069,88,13,1
1070,66,16,1
1071,68,14,1
1072,66,16,1
1073,66,16,1
1074,86,15,1
1075,88,13,1
1076,88,13,1
1077,86,15,1
1078,46,17,1
1079,68,14,1
1080,68,14,1
1081,88,13,1
1082,88,13,1
1083,86,15,1
1084,88,13,1
1085,88,13,1
1086,86,15,1
1087,88,13,1
1088,68,14,1
1089,88,13,1
1090,88,13,1
1091,68,14,1
1092,86,15,1
1093,68,14,1
1094,88,13,1
1095,68,14,1
1096,88,13,1
1097,88,13,1
1098,88,13,1
1099,86,15,1
1100,68,14,1
1101,88,13,1
1102,88,13,1
1103,48,15,1
1104,86,15,1
1105,88,13,1
1106,48,15,1
1107,66,16,1
1108,68,14,1
1109,88,13,1
1110,88,13,1
1111,88,13,1
1112,88,13,1
1113,88,13,1
1114,88,13,1
1115,68,14,1
1116,88,13,1
1117,88,13,1
1118,88,13,1
1119,88,13,1
1120,86,15,1
1121,86,15,1
1122,88,13,1
1123,88,13,1
1124,88,13,1
1125,88,13,1
1126,68,14,1
1127,86,15,1
1128,88,13,1
1129,88,13,1
1130,88,13,1
1131,86,15,1
1132,88,13,1
1133,88,13,1
1134,88,13,1
1135,88,13,1
1136,88,13,1
1137,88,13,1
1138,88,13,1
1139,68,14,1
1140,88,13,1
1141,88,13,1
1142,68,14,1
1143,88,13,1
1144,88,13,1
1145,88,13,1
1146,86,15,1
1147,68,14,1
1148,88,13,1
1149,88,13,1
1150,88,13,1
1151,88,13,1
1152,68,14,1
1153,88,13,1
1154,86,15,1
1155,86,15,1
1156,88,13,1
1157,88,13,1
1158,68,14,1
1159,48,15,1
1160,88,13,1
1161,88,13,1
1162,68,14,1
1163,68,14,1
1164,86,15,1
1165,66,16,1
1166,86,15,1
1167,88,13,1
1168,88,13,1
1169,68,14,1
1170,88,13,1
1171,88,13,1
1172,88,13,1
1173,88,13,1
1174,68,14,1
1175,88,13,1
1176,88,13,1
1177,88,13,1
1178,88,13,1
1179,88,13,1
1180,82,19,1
1181,88,13,1
1182,48,15,1
1183,88,13,1
1184,88,13,1
1185,88,13,1
1186,88,13,1
1187,86,15,1
1188,88,13,1
1189,68,14,1
1190,86,15,1
1191,88,13,1
1192,66,16,1
1193,68,14,1
1194,88,13,1
1195,68,14,1
1196,88,13,1
1197,88,13,1
1198,88,13,1
1199,88,13,1
1200,68,14,1
1201,88,13,1
1202,88,13,1
1203,88,13,1
1204,88,13,1
1205,88,13,1
1206,88,13,1
1207,88,13,1
1208,88,13,1
1209,88,13,1
