episode,reward,steps,success,reached_pickup,completed_delivery,collisions,penalty_zone_visits
294,-5841.0,340,0,0,0,55,0
295,-5158.0,340,0,0,0,48,0
296,-8901.0,340,0,0,0,86,0
297,-4975.0,340,0,0,0,46,0
298,-7554.0,340,0,0,0,72,7
299,-6935.0,340,0,0,0,66,0
300,-7771.0,340,0,0,0,73,76
301,-7565.0,340,0,0,0,72,7
302,-8285.0,340,0,0,0,79,35
303,-6164.0,340,0,0,0,58,0
304,-7631.0,340,0,0,0,73,6
305,-6947.0,340,0,0,0,66,11
306,-9241.0,340,0,0,0,88,67
307,-5553.0,340,0,0,0,52,1
308,-6533.0,340,0,0,0,62,0
309,-7630.0,340,0,0,0,73,0
310,-6497.0,340,0,1,0,61,14
311,-4672.0,340,0,0,0,43,0
312,-4570.0,340,0,0,0,42,0
313,-7544.0,340,0,1,0,72,20
314,-5749.0,340,0,0,0,54,0
315,-6742.0,340,0,0,0,64,0
316,-5368.0,340,0,0,0,50,0
317,-9032.0,340,0,0,0,86,66
318,-6644.0,340,0,0,0,63,0
319,-8727.0,340,0,0,0,84,5
320,-6242.0,340,0,0,0,59,0
321,-5455.0,340,0,0,0,51,0
322,-5868.0,340,0,0,0,55,6
323,-5163.0,340,0,0,0,48,0
324,-4863.0,340,0,0,0,45,0
325,-4263.0,340,0,0,0,39,0
326,-5660.0,340,0,0,0,53,0
327,-5659.0,340,0,0,0,53,0
328,-4853.0,340,0,0,0,45,0
329,-6242.0,340,0,0,0,59,0
330,-9522.0,340,0,0,0,91,58
331,-5067.0,340,0,0,0,47,6
332,-6948.0,340,0,0,0,66,2
333,-6459.0,340,0,0,0,61,5
334,-7021.0,340,0,0,0,66,53
335,-6544.0,340,0,0,0,62,0
336,-6862.0,340,0,0,0,65,12
337,-5849.0,340,0,0,0,55,0
338,-5742.0,340,0,0,0,54,0
339,-6153.0,340,0,0,0,58,0
340,-7743.0,340,0,0,0,74,5
341,-6385.0,340,0,0,0,60,15
342,-6759.0,340,0,0,0,64,7
343,-5660.0,340,0,0,0,53,11
344,-6758.0,340,0,0,0,64,0
345,-6446.0,340,0,0,0,61,0
346,-7764.0,340,0,0,0,74,15
347,-7279.0,340,0,0,0,69,22
348,-6843.0,340,0,0,0,65,0
349,-7639.0,340,0,0,0,73,0
350,-6814.0,340,0,1,0,65,3
351,-4865.0,340,0,0,0,45,0
352,-5957.0,340,0,0,0,56,2
353,-5260.0,340,0,0,0,49,0
354,-6651.0,340,0,0,0,63,1
355,-6141.0,340,0,0,0,58,0
356,-6046.0,340,0,0,0,57,0
357,-6738.0,340,0,0,0,64,0
358,-7395.0,340,0,0,0,70,31
359,-6348.0,340,0,0,0,60,0
360,-7549.0,340,0,0,0,72,5
361,-4278.0,340,0,0,0,39,0
362,-8236.0,340,0,0,0,79,0
363,-3475.0,340,0,0,0,31,0
364,-4738.0,340,0,1,0,44,4
365,-4856.0,340,0,0,0,45,0
366,-8813.0,340,0,0,0,85,0
367,-8027.0,340,0,0,0,77,0
368,-5680.0,340,0,0,0,53,9
369,-7357.0,340,0,0,0,70,0
370,-5064.0,340,0,0,0,47,0
371,-8368.0,340,0,0,0,80,34
372,-7074.0,340,0,0,0,67,22
373,-7219.0,340,0,0,0,68,47
374,-8132.0,340,0,0,0,78,0
375,-5469.0,340,0,0,0,51,10
376,-7438.0,340,0,0,0,71,6
377,-4767.0,340,0,0,0,44,0
378,-5160.0,340,0,0,0,48,0
379,-5166.0,340,0,0,0,48,1
380,-6654.0,340,0,0,0,63,0
381,-5065.0,340,0,0,0,47,0
382,-6244.0,340,0,0,0,59,0
383,-7326.0,340,0,0,0,70,0
384,-7070.0,340,0,0,0,67,17
385,-5466.0,340,0,0,0,51,2
386,-6644.0,340,0,0,0,63,0
387,-8191.0,340,0,0,0,78,34
388,-5100.0,340,0,0,0,47,19
389,-6980.0,340,0,0,0,66,23
390,-5664.0,340,0,0,0,53,0
391,-7795.0,340,0,0,0,74,35
392,-5644.0,340,0,0,0,53,0
393,-8566.0,340,0,0,0,82,27
394,-5473.0,340,0,0,0,51,14
395,-6353.0,340,0,0,0,60,5
396,-4569.0,340,0,0,0,42,0
397,-5544.0,340,0,0,0,52,0
398,-5171.0,340,0,0,0,48,5
399,-5667.0,340,0,0,0,53,0
400,-7936.0,340,0,1,0,76,12
401,-8024.0,340,0,0,0,76,60
402,-4951.0,340,0,0,0,46,0
403,-5848.0,340,0,0,0,55,0
404,-6151.0,340,0,0,0,58,0
405,-5740.0,340,0,0,0,54,1
406,-5745.0,340,0,0,0,54,0
407,-6442.0,340,0,0,0,61,0
408,-6591.0,340,0,0,0,62,16
409,-5477.0,340,0,0,0,51,14
410,-5148.0,340,0,0,0,48,0
411,-6563.0,340,0,0,0,62,2
412,-4963.0,340,0,0,0,46,0
413,-6070.0,340,0,0,0,57,9
414,-5758.0,340,0,0,0,54,0
415,-4179.0,340,0,0,0,38,0
416,-3959.0,340,0,0,0,36,0
417,-5945.0,340,0,0,0,56,0
418,-5851.0,340,0,0,0,55,0
419,-8116.0,340,0,0,0,77,48
420,-7238.0,340,0,0,0,69,0
421,-6643.0,340,0,0,0,63,0
422,-6424.0,340,0,0,0,60,39
423,-7632.0,340,0,0,0,73,5
424,-4574.0,340,0,0,0,42,0
425,-6152.0,340,0,0,0,58,0
426,-6540.0,340,0,0,0,62,0
427,-5169.0,340,0,0,0,48,0
428,-5565.0,340,0,0,0,52,0
429,-4861.0,340,0,0,0,45,0
430,-7721.0,340,0,0,0,74,0
431,-6196.0,340,0,0,0,58,16
432,-6045.0,340,0,0,0,57,0
433,-5250.0,340,0,0,0,49,0
434,-6640.0,340,0,0,0,63,0
435,-5652.0,340,0,0,0,53,0
436,-6738.0,340,0,0,0,64,0
437,-4856.0,340,0,0,0,45,0
438,-4663.0,340,0,0,0,43,0
439,-6251.0,340,0,0,0,59,0
440,-5771.0,340,0,0,0,54,11
441,-6743.0,340,0,0,0,64,0
442,-5761.0,340,0,0,0,54,0
443,-6109.0,340,0,0,0,57,35
444,-6057.0,340,0,0,0,57,0
445,-5956.0,340,0,0,0,56,0
446,-6467.0,340,0,0,0,61,12
447,-8339.0,340,0,0,0,80,8
448,-6406.0,340,0,0,0,60,36
449,-6740.0,340,0,0,0,64,0
450,-7166.0,340,0,0,0,68,18
451,-5263.0,340,0,0,0,49,0
452,-5468.0,340,0,0,0,51,0
453,-5554.0,340,0,0,0,52,0
454,-7036.0,340,0,0,0,67,0
455,-8044.0,340,0,0,0,77,13
456,-6733.0,340,0,0,0,64,0
457,-7377.0,340,0,0,0,70,6
458,-10068.0,340,0,0,0,96,93
459,-5571.0,340,0,0,0,52,0
460,-6246.0,340,0,0,0,59,0
461,-6814.0,340,0,0,0,64,44
462,-6950.0,340,0,0,0,66,0
463,-6249.0,340,0,0,0,59,3
464,-5655.0,340,0,0,0,53,0
465,-6853.0,340,0,0,0,65,1
466,-4470.0,340,0,0,0,41,0
467,-8759.0,340,0,0,0,84,25
468,-7971.0,340,0,0,0,76,14
469,-7030.0,340,0,0,0,67,0
470,-5860.0,340,0,0,0,55,5
471,-5954.0,340,0,0,0,56,0
472,-6834.0,340,0,0,0,65,0
473,-5465.0,340,0,0,0,51,0
474,-7381.0,340,0,0,0,70,30
475,-7597.0,340,0,0,0,72,37
476,-7895.0,340,0,0,0,75,14
477,-5860.0,340,0,0,0,55,0
478,-5363.0,340,0,1,0,50,8
479,-8239.0,340,0,0,0,78,62
480,-7335.0,340,0,0,0,70,0
481,-8329.0,340,0,0,0,80,1
482,-9327.0,340,0,0,0,90,0
483,-6997.0,340,0,0,0,66,30
484,-6246.0,340,0,0,0,59,0
485,-6768.0,340,0,0,0,64,13
486,-8306.0,340,0,1,0,80,8
487,-7460.0,340,0,0,0,71,4
488,-7900.0,340,0,0,0,75,44
489,-4859.0,340,0,0,0,45,0
490,-3969.0,340,0,0,0,36,0
491,-5746.0,340,0,0,0,54,0
492,-5455.0,340,0,0,0,51,0
493,-4668.0,340,0,0,0,43,0
494,-4558.0,340,0,0,0,42,0
495,-5261.0,340,0,0,0,49,0
496,-8022.0,340,0,0,0,77,0
497,-4277.0,340,0,0,0,39,0
498,-6140.0,340,0,0,0,58,0
499,-6544.0,340,0,0,0,62,0
500,-5247.0,340,0,0,0,49,0
501,-8522.0,340,0,0,0,82,0
502,-6534.0,314,1,1,1,63,14
503,-5870.0,340,0,0,0,55,11
504,-6934.0,340,0,0,0,66,1
505,-7352.0,340,0,0,0,70,15
506,-6055.0,340,0,0,0,57,0
507,-6107.0,340,0,0,0,57,30
508,-5587.0,340,0,0,0,52,17
